day;hour;category_title;count
6;13                                                                                                  ;Lifestyle            ;3
6;13                                                                                                  ;Music                ;2
6;13                                                                                                  ;Science & Politics   ;3
6;13                                                                                                  ;Theater & Animation  ;1
6;14                                                                                                  ;Entertainment        ;5
6;14                                                                                                  ;Lifestyle            ;3
6;14                                                                                                  ;Music                ;4
6;14                                                                                                  ;Science & Politics   ;4
6;15                                                                                                  ;Entertainment        ;5
6;15                                                                                                  ;Lifestyle            ;3
6;15                                                                                                  ;Music                ;4
6;15                                                                                                  ;Science & Politics   ;3
6;15                                                                                                  ;Sports               ;1
6;15                                                                                                  ;Theater & Animation  ;2
6;16                                                                                                  ;Entertainment        ;4
6;16                                                                                                  ;Lifestyle            ;4
6;16                                                                                                  ;Music                ;4
6;16                                                                                                  ;Science & Politics   ;2
6;16                                                                                                  ;Sports               ;1
6;16                                                                                                  ;Theater & Animation  ;2
6;17                                                                                                  ;Entertainment        ;5
6;17                                                                                                  ;Lifestyle            ;5
6;17                                                                                                  ;Music                ;3
6;17                                                                                                  ;Science & Politics   ;3
6;17                                                                                                  ;Theater & Animation  ;3
6;18                                                                                                  ;Entertainment        ;2
6;18                                                                                                  ;Lifestyle            ;5
6;18                                                                                                  ;Music                ;1
6;18                                                                                                  ;Science & Politics   ;4
6;18                                                                                                  ;Theater & Animation  ;4
6;19                                                                                                  ;Entertainment        ;5
6;19                                                                                                  ;Lifestyle            ;2
6;19                                                                                                  ;Music                ;1
6;19                                                                                                  ;Science & Politics   ;3
6;19                                                                                                  ;Theater & Animation  ;3
6;20                                                                                                  ;Entertainment        ;5
6;20                                                                                                  ;Lifestyle            ;4
6;20                                                                                                  ;Music                ;1
6;20                                                                                                  ;Science & Politics   ;2
6;20                                                                                                  ;Sports               ;1
6;21                                                                                                  ;Entertainment        ;4
6;21                                                                                                  ;Gaming               ;1
6;21                                                                                                  ;Lifestyle            ;3
6;21                                                                                                  ;Music                ;1
6;21                                                                                                  ;Sports               ;1
6;21                                                                                                  ;Theater & Animation  ;1
6;22                                                                                                  ;Entertainment        ;4
6;22                                                                                                  ;Lifestyle            ;5
6;22                                                                                                  ;Music                ;1
6;22                                                                                                  ;Science & Politics   ;2
