snippet/title;title;thumbnail_link;hour_of_publish;week_day
Theater & Animation  ;We did it!!: Fails You Missed #22 (December 2017) | FailArmy                                        ;https://i.ytimg.com/vi/1qG_NwTT-2k/default.jpg       ;14                                                                                                  ;7
Entertainment        ;Outback Bowl is January 1st                                                                         ;https://i.ytimg.com/vi/1qKBNKtzTWg/default.jpg       ;13                                                                                                  ;2
Entertainment        ;Aaron Paul Reveals What NOT to Say to Your Wife During Labor                                        ;https://i.ytimg.com/vi/1QR-GsZkE3E/default.jpg       ;10                                                                                                  ;4
Entertainment        ;Sarah Paulson Gets Scared During '5 Second Rule'                                                    ;https://i.ytimg.com/vi/1RZYOeQeIXE/default.jpg       ;13                                                                                                  ;2
Music                ;Nina Nesbitt - Somebody Special (Official Video)                                                    ;https://i.ytimg.com/vi/1sJHx2s4Pp4/default.jpg       ;05                                                                                                  ;4
Theater & Animation  ;I AUDITIONED FOR THE VOICE!                                                                         ;https://i.ytimg.com/vi/1sqyuXCwcBA/default.jpg       ;05                                                                                                  ;6
Entertainment        ;Black Panther: New International Trailer Released - Movie Talk                                      ;https://i.ytimg.com/vi/1UPJ_Uk9s5c/default.jpg       ;18                                                                                                  ;3
Theater & Animation  ;COCO Movie Review... and Olaf's Frozen Adventure | Andre Black Nerd                                 ;https://i.ytimg.com/vi/1vc1cKeor5A/default.jpg       ;23                                                                                                  ;3
Lifestyle            ;Chit Chat GRWM | Failure, Disappointment & Holidays                                                 ;https://i.ytimg.com/vi/1w9tf3vSuVs/default.jpg       ;03                                                                                                  ;4
Music                ;Andy Grammer - The Good Parts (Official Audio)                                                      ;https://i.ytimg.com/vi/1Wk8ZRgXQnY/default.jpg       ;22                                                                                                  ;5
Lifestyle            ;ROCK ON! Anti-Valentine's Day Cake | Man About Cake Modeling Chocolate Sculpting                    ;https://i.ytimg.com/vi/1WRUGR-glbQ/default.jpg       ;11                                                                                                  ;3
Entertainment        ;The Voice 2018 - The Season 14 Voice Champion Is...                                                 ;https://i.ytimg.com/vi/1Xgm5R4eMao/default.jpg       ;03                                                                                                  ;4
Lifestyle            ;Mesmerizing Shockwaves in Your Window Screen (18,000FPS) - Beyond Slow Motion                       ;https://i.ytimg.com/vi/1yf8ZSjtXiI/default.jpg       ;18                                                                                                  ;6
Entertainment        ;Gucci Gang Country Edition! (Dear Ryan)                                                             ;https://i.ytimg.com/vi/1Znl8OUBa_o/default.jpg       ;16                                                                                                  ;7
Science & Politics   ;Compressed Air Powered Plane                                                                        ;https://i.ytimg.com/vi/1ZqFDsq09H8/default.jpg       ;12                                                                                                  ;6
