category_title;word;likes;dislikes;comments;views;days_until_trendy
Entertainment        ;krieger;5440.0;42.0;1038.0;56894.0;6.0
Entertainment        ;wrapping;5440.0;42.0;1038.0;56894.0;6.0
Lifestyle            ;vancamp;5432.0;191.0;514.0;613552.0;4.0
Lifestyle            ;googled;5427.0;1222.0;618.0;350061.0;4.0
Science & Politics   ;cosplay;5424.0;49.0;275.0;168103.0;13.0
Science & Politics   ;repairs;5424.0;49.0;275.0;168103.0;13.0
Science & Politics   ;totoro;5424.0;49.0;275.0;168103.0;13.0
Lifestyle            ;kendrick;5423.0;50.0;206.0;112715.0;4.0
Music                ;alfies;5422.0;87.0;485.0;156494.0;6.0
Music                ;bleachers;5422.0;87.0;485.0;156494.0;6.0
Lifestyle            ;horse;5418.0;187.0;581.0;225778.0;6.0
Lifestyle            ;masterfully;5418.0;187.0;581.0;225778.0;6.0
Lifestyle            ;patagonian;5418.0;187.0;581.0;225778.0;6.0
Lifestyle            ;tamed;5418.0;187.0;581.0;225778.0;6.0
Entertainment        ;lisa;5418.0;127.0;418.0;478753.0;3.0
Sports               ;lakerscavaliers;5416.0;424.0;1217.0;625807.0;2.0
Sports               ;speculates;5416.0;424.0;1217.0;625807.0;2.0
Sports               ;told;5416.0;424.0;1217.0;625807.0;2.0
Lifestyle            ;boarding;5413.0;201.0;375.0;683434.0;6.0
Lifestyle            ;mates;5413.0;201.0;375.0;683434.0;6.0
Lifestyle            ;ð ð°ð·ð¾ñˆð»ð¸ñ?ñœ;5412.0;180.0;341.0;491967.0;18.0
Science & Politics   ;aisle;5411.0;723.0;1788.0;1034276.0;11.0
Music                ;band;5411.0;191.0;441.0;387338.0;21.0
Music                ;begin;5411.0;191.0;441.0;387338.0;21.0
Music                ;cop;5411.0;191.0;441.0;387338.0;21.0
Music                ;matthews;5411.0;191.0;441.0;387338.0;21.0
Music                ;samurai;5411.0;191.0;441.0;387338.0;21.0
Music                ;visualizer;5411.0;191.0;441.0;387338.0;21.0
Lifestyle            ;model;5410.0;217.0;675.0;430823.0;10.0
Entertainment        ;metalhead;5407.0;108.0;724.0;433758.0;2.0
Entertainment        ;hammer;5404.0;87.0;394.0;235414.0;4.0
Science & Politics   ;grahams;5401.0;1181.0;0.0;472551.0;9.0
Science & Politics   ;reverend;5401.0;1181.0;0.0;472551.0;9.0
Science & Politics   ;false;5395.0;559.0;2061.0;355992.0;9.0
Science & Politics   ;cora;5386.0;419.0;1107.0;758927.0;13.0
Lifestyle            ;male;5386.0;68.0;1063.0;106337.0;3.0
Lifestyle            ;sex;5386.0;68.0;1063.0;106337.0;3.0
Lifestyle            ;luther;5385.0;6170.0;1445.0;1281245.0;6.0
Lifestyle            ;martin;5385.0;6170.0;1445.0;1281245.0;6.0
Theater & Animation  ;fail;5384.0;450.0;742.0;314590.0;4.0
Sports               ;every;5380.0;180.0;1248.0;492330.0;3.0
Sports               ;launch;5380.0;96.0;333.0;274010.0;9.0
Entertainment        ;wiig;5380.0;233.0;362.0;275384.0;4.0
Sports               ;talking;5372.0;320.0;1372.0;532753.0;1.0
Entertainment        ;lamar;5370.0;1561.0;2454.0;419468.0;1.0
Entertainment        ;strangest;5364.0;162.0;604.0;225463.0;6.0
Entertainment        ;lightning;5359.0;98.0;1217.0;77452.0;6.0
